site,site_name,sample_id,species,latitude,longitude,aspect,curvature,curvature_planform,curvature_profile,elevation_m,et_act_mm,et_pot_mm,npp,precip_mm,ruggedness,scf_average,sdd_average,solar_rad,heat_load,slope_degree,slope_percent,temp_average_c,temp_max_c,temp_min_c,tpi,twi_saga,vpd_max,vpd_min,deficit_1981_2010,dist_accum,ilap_code,forest_name,district_name,huc12_code,huc12_name,huc10_code,huc10_name,huc8_code,huc8_name
22,Gray,W02201,PSME,43.69918,-122.54073,80.5376968,0.945055,0.452459,-0.492596,1158,703,1223,9042,1874.280029,9.8488598,0.208323,165.6320038,713039.8125,0.895712636,6.37639,11.1751003,8.5549002,13.71,3.3986001,2.125,6.18363,9.8500004,0.91,83.39006042,6781901,260210,Willamette National Forest,Middle Fork Ranger District,1.71e+11,Gray Creek-Middle Fork Willamette River,1709000105,Hills Creek Lake-Middle Fork Willamette River,17090001,Middle Fork Willamette
22,Gray,W02202,PSME,43.69913,-122.54082,39.2893982,0.135008,0.135008,0,1159,703,1223,9042,1874.280029,5.2915001,0.208323,165.6320038,713039.8125,0.888804761,3.7348399,6.5277801,8.5549002,13.71,3.3986001,0.75,6.8363099,9.8500004,0.91,83.39006042,6783196,260210,Willamette National Forest,Middle Fork Ranger District,1.71e+11,Gray Creek-Middle Fork Willamette River,1709000105,Hills Creek Lake-Middle Fork Willamette River,17090001,Middle Fork Willamette
22,Gray,W02203,PSME,43.69898,-122.54099,39.2893982,0.135008,0.135008,0,1159,703,1223,9042,1874.280029,5.2915001,0.208323,165.6320038,713039.8125,0.888806244,3.7348399,6.5277801,8.5549002,13.71,3.3986001,0.75,6.8363099,9.8500004,0.91,83.49451447,6781958.5,260210,Willamette National Forest,Middle Fork Ranger District,1.71e+11,Gray Creek-Middle Fork Willamette River,1709000105,Hills Creek Lake-Middle Fork Willamette River,17090001,Middle Fork Willamette
22,Gray,W02204,PSME,43.69886,-122.54093,122.9049988,0.810047,0.351021,-0.459027,1160,703,1223,9042,1874.280029,9.43398,0.208323,165.6320038,713039.8125,0.932366532,5.31321,9.2999697,8.5549002,13.71,3.3986001,2.125,6.6487999,9.8500004,0.91,83.39006042,6781693.5,260210,Willamette National Forest,Middle Fork Ranger District,1.71e+11,Larison Creek-Middle Fork Willamette River,1709000105,Hills Creek Lake-Middle Fork Willamette River,17090001,Middle Fork Willamette
22,Gray,W02205,PSME,43.69887,-122.54094,122.9049988,0.810047,0.351021,-0.459027,1160,703,1223,9042,1874.280029,9.43398,0.208323,165.6320038,713039.8125,0.932366433,5.31321,9.2999697,8.5549002,13.71,3.3986001,2.125,6.6487999,9.8500004,0.91,83.39006042,6781701.5,260210,Willamette National Forest,Middle Fork Ranger District,1.71e+11,Larison Creek-Middle Fork Willamette River,1709000105,Hills Creek Lake-Middle Fork Willamette River,17090001,Middle Fork Willamette
22,Gray,W02206,PSME,43.69899,-122.54068,80.5376968,0.945055,0.452459,-0.492596,1158,703,1223,9042,1874.280029,9.8488598,0.208323,165.6320038,713039.8125,0.895714528,6.37639,11.1751003,8.5549002,13.71,3.3986001,2.125,6.18363,9.8500004,0.91,83.39006042,6780809,260210,Willamette National Forest,Middle Fork Ranger District,1.71e+11,Larison Creek-Middle Fork Willamette River,1709000105,Hills Creek Lake-Middle Fork Willamette River,17090001,Middle Fork Willamette
22,Gray,W02207,PSME,43.69897,-122.54109,28.3008003,0.270016,0.0270016,-0.243014,1160,703,1223,9042,1874.280029,4.7958298,0.208323,165.6320038,713039.8125,0.883953954,3.8794999,6.7813802,8.5549002,13.71,3.3986001,0.625,7.0689902,9.8500004,0.91,83.49451447,6782177,260210,Willamette National Forest,Middle Fork Ranger District,1.71e+11,Gray Creek-Middle Fork Willamette River,1709000105,Hills Creek Lake-Middle Fork Willamette River,17090001,Middle Fork Willamette
22,Gray,W02208,PSME,43.69909,-122.54103,39.2893982,0.135008,0.135008,0,1159,703,1223,9042,1874.280029,5.2915001,0.208323,165.6320038,713039.8125,0.888805157,3.7348399,6.5277801,8.5549002,13.71,3.3986001,0.75,6.8363099,9.8500004,0.91,83.49451447,6784559.5,260210,Willamette National Forest,Middle Fork Ranger District,1.71e+11,Gray Creek-Middle Fork Willamette River,1709000105,Hills Creek Lake-Middle Fork Willamette River,17090001,Middle Fork Willamette
22,Gray,W02209,PSME,43.69918,-122.54125,28.3008003,0.270016,0.0270016,-0.243014,1160,703,1223,9042,1874.280029,4.7958298,0.208323,165.6320038,713039.8125,0.883951877,3.8794999,6.7813802,8.5549002,13.71,3.3986001,0.625,7.0689902,9.8500004,0.91,83.49451447,6795314,260210,Willamette National Forest,Middle Fork Ranger District,1.71e+11,Gray Creek-Middle Fork Willamette River,1709000105,Hills Creek Lake-Middle Fork Willamette River,17090001,Middle Fork Willamette
22,Gray,W02210,PSME,43.69899,-122.54133,28.3008003,0.270016,0.0270016,-0.243014,1160,703,1223,9042,1874.280029,4.7958298,0.208323,165.6320038,713039.8125,0.883953756,3.8794999,6.7813802,8.5549002,13.71,3.3986001,0.625,7.0689902,9.8500004,0.91,83.49451447,6782572.5,260210,Willamette National Forest,Middle Fork Ranger District,1.71e+11,Gray Creek-Middle Fork Willamette River,1709000105,Hills Creek Lake-Middle Fork Willamette River,17090001,Middle Fork Willamette
22,Gray,W02211,PSME,43.69946,-122.54134,10.4914999,0.270016,0.0877551,-0.182261,1155,703,1223,9042,1874.280029,9.1104298,0.208323,165.6320038,713039.8125,0.842325522,7.1880498,12.6117001,8.5549002,13.71,3.3986001,0.625,7.1065102,9.8500004,0.91,83.49451447,6789679,180310,Willamette National Forest,Middle Fork Ranger District,1.71e+11,Gray Creek-Middle Fork Willamette River,1709000105,Hills Creek Lake-Middle Fork Willamette River,17090001,Middle Fork Willamette
22,Gray,W02212,PSME,43.69933,-122.54128,21.8013992,-0.405024,-0.251394,0.15363,1157,703,1223,9042,1874.280029,6.8556499,0.208323,165.6320038,713039.8125,0.862933416,5.6501498,9.8934698,8.5549002,13.71,3.3986001,-0.625,6.9943299,9.8500004,0.91,83.49451447,6792466.5,180310,Willamette National Forest,Middle Fork Ranger District,1.71e+11,Gray Creek-Middle Fork Willamette River,1709000105,Hills Creek Lake-Middle Fork Willamette River,17090001,Middle Fork Willamette
22,Gray,W02213,PSME,43.69955,-122.54099,7.4314098,-0.135008,-0.120412,0.0145954,1154,703,1223,9042,1874.280029,7.0710702,0.208323,165.6320038,713039.8125,0.854899663,6.0809102,10.6532001,8.5549002,13.71,3.3986001,0,6.9167399,9.8500004,0.91,83.49451447,6794313,180310,Willamette National Forest,Middle Fork Ranger District,1.71e+11,Gray Creek-Middle Fork Willamette River,1709000105,Hills Creek Lake-Middle Fork Willamette River,17090001,Middle Fork Willamette
