"","site","sample_id","orig_sample_id","event_year","position","type","notes"
"1",22,"W02202","W02202",1839,"U","RWS",NA
"2",22,"W02210","W02210",1807,"U","FS",NA
"3",22,"W02211","W02211",1795,"U","I",NA
"4",22,"W02211","W02211",1807,"U","FS",NA
"5",22,"W02216","W02216",1807,"U","I",NA
"6",23,"W02301","W02301",1615,"D","FS",NA
"7",23,"W02301","W02301",1621,"D","I",NA
"8",23,"W02301","W02301",1626,"D","FS",NA
"9",23,"W02301","W02301",1671,"U","RWS",NA
"10",23,"W02301","W02301",1746,"U","RWS",NA
"11",23,"W02302","W02302",1594,"D","I",NA
"12",23,"W02302","W02302",1615,"U","FS",NA
"13",23,"W02302","W02302",1626,"D","FS",NA
"14",23,"W02302","W02302",1671,"U","RWS",NA
"15",23,"W02302","W02302",1746,"U","RWS",NA
"16",23,"W02302","W02302",1817,"D","I",NA
"17",23,"W02303","W02303",1615,"U","FS",NA
"18",23,"W02303","W02303",1664,"U","RWS",NA
"19",23,"W02303","W02303",1746,"U","RWS",NA
"20",23,"W02303","W02303",1812,"D","FS",NA
"21",23,"W02304","W02304",1671,"U","RWS",NA
"22",23,"W02304","W02304",1812,"U","FS",NA
"23",23,"W02304","W02304",1846,"U","FS",NA
"24",23,"W02305","W02305",1671,"U","RWS",NA
"25",23,"W02305","W02305",1746,"U","RWS",NA
"26",23,"W02305","W02305",1812,"D","FS",NA
"27",23,"W02306","W02306",1614,"D","I",NA
"28",23,"W02306","W02306",1615,"D","FS",NA
"29",23,"W02306","W02306",1746,"U","RWS",NA
"30",23,"W02306","W02306",1812,"D","FS",NA
"31",23,"W02307","W02307",1670,"U","RWS",NA
"32",23,"W02307","W02307",1738,"U","I",NA
"33",23,"W02307","W02307",1746,"U","RWS",NA
"34",23,"W02308","W02308",1671,"U","RWS",NA
"35",23,"W02308","W02308",1746,"U","RWS",NA
"36",23,"W02308","W02308",1812,"U","FS",NA
"37",23,"W02309","W02309",1663,"D","FS",NA
"38",23,"W02309","W02309",1671,"U","RWS",NA
"39",23,"W02309","W02309",1738,"D","I",NA
"40",23,"W02309","W02309",1746,"U","RWS",NA
"41",23,"W02309","W02309",1812,"D","FS",NA
