site,ignition_density_km2
22,0.178253119
23,0.15597148
24,0.658899924
25,0.079577285
26,0.235548765
28,0.216450216
52,0.031830914
53,0.149605297
54,0.009549274
55,0.019098549
56,0.009549274
57,0.120957474
58,0.02228164
59,0.280112045
60,0.015915457
61,0.13368984
62,0.076394194
64,0.098675834
68,0.222816399
71,0.254647313
72,0.280112045
81,0.124140565
82,0.410618793
83,0.58250573
84,0.184619302
85,0.178253119
86,0.222816399
87,0.057295646
88,0.149605297
89,0.171886937
90,0.200534759
91,0.101858925
92,0.187802394
93,0.127323657
96,0.143239114
98,0.136872931
