"","YEAR","NREC","NCRN","RECON","X20LP","CRSQ","VRSQ","RE","CE","ACT","X20LP.1"
"1",530,4,1,0.794,0.188,0.322,0.314,0.26,0.234,-99.999,-99.999
"2",531,4,1,0.401,-0.01,0.322,0.314,0.26,0.234,-99.999,-99.999
"3",532,4,1,2.099,-0.202,0.322,0.314,0.26,0.234,-99.999,-99.999
"4",533,4,1,-1.773,-0.375,0.322,0.314,0.26,0.234,-99.999,-99.999
"5",534,4,1,-2.807,-0.501,0.322,0.314,0.26,0.234,-99.999,-99.999
"6",535,4,1,-1.859,-0.565,0.322,0.314,0.26,0.234,-99.999,-99.999
"7",536,4,1,-1.322,-0.567,0.322,0.314,0.26,0.234,-99.999,-99.999
"8",537,4,1,-0.643,-0.524,0.322,0.314,0.26,0.234,-99.999,-99.999
"9",538,4,1,0.711,-0.458,0.322,0.314,0.26,0.234,-99.999,-99.999
"10",539,4,1,0.389,-0.393,0.322,0.314,0.26,0.234,-99.999,-99.999
"11",540,4,1,-1.271,-0.341,0.322,0.314,0.26,0.234,-99.999,-99.999
"12",541,4,1,0.237,-0.311,0.322,0.314,0.26,0.234,-99.999,-99.999
"13",542,4,1,-0.007,-0.317,0.322,0.314,0.26,0.234,-99.999,-99.999
"14",543,4,1,1.249,-0.368,0.322,0.314,0.26,0.234,-99.999,-99.999
"15",544,4,1,2.158,-0.469,0.322,0.314,0.26,0.234,-99.999,-99.999
"16",545,4,1,-1.655,-0.608,0.322,0.314,0.26,0.234,-99.999,-99.999
"17",546,4,1,-2.873,-0.758,0.322,0.314,0.26,0.234,-99.999,-99.999
"18",547,4,1,-0.133,-0.894,0.322,0.314,0.26,0.234,-99.999,-99.999
"19",548,4,1,-0.207,-1.009,0.322,0.314,0.26,0.234,-99.999,-99.999
"20",549,4,1,-3.624,-1.091,0.322,0.314,0.26,0.234,-99.999,-99.999
"21",550,4,1,-1.885,-1.126,0.322,0.314,0.26,0.234,-99.999,-99.999
"22",551,4,1,-0.37,-1.116,0.322,0.314,0.26,0.234,-99.999,-99.999
"23",552,4,1,-1.124,-1.073,0.322,0.314,0.26,0.234,-99.999,-99.999
"24",553,4,1,-2.603,-1.003,0.322,0.314,0.26,0.234,-99.999,-99.999
"25",554,4,1,-0.767,-0.914,0.322,0.314,0.26,0.234,-99.999,-99.999
"26",555,4,1,0.063,-0.826,0.322,0.314,0.26,0.234,-99.999,-99.999
"27",556,4,1,-0.282,-0.758,0.322,0.314,0.26,0.234,-99.999,-99.999
"28",557,4,1,0.904,-0.721,0.322,0.314,0.26,0.234,-99.999,-99.999
"29",558,4,1,1.56,-0.721,0.322,0.314,0.26,0.234,-99.999,-99.999
"30",559,4,1,-2.061,-0.748,0.322,0.314,0.26,0.234,-99.999,-99.999
"31",560,4,1,-2.123,-0.776,0.322,0.314,0.26,0.234,-99.999,-99.999
"32",561,4,1,0.01,-0.788,0.322,0.314,0.26,0.234,-99.999,-99.999
"33",562,4,1,-1.851,-0.775,0.322,0.314,0.26,0.234,-99.999,-99.999
"34",563,4,1,-3.207,-0.726,0.322,0.314,0.26,0.234,-99.999,-99.999
"35",564,4,1,0.535,-0.641,0.322,0.314,0.26,0.234,-99.999,-99.999
"36",565,4,1,0.064,-0.537,0.322,0.314,0.26,0.234,-99.999,-99.999
"37",566,4,1,-0.777,-0.425,0.322,0.314,0.26,0.234,-99.999,-99.999
"38",567,4,1,-0.04,-0.309,0.322,0.314,0.26,0.234,-99.999,-99.999
"39",568,4,1,-1.584,-0.198,0.322,0.314,0.26,0.234,-99.999,-99.999
"40",569,4,1,0.192,-0.098,0.322,0.314,0.26,0.234,-99.999,-99.999
"41",570,4,1,0.545,-0.027,0.322,0.314,0.26,0.234,-99.999,-99.999
"42",571,4,1,1.415,0.001,0.322,0.314,0.26,0.234,-99.999,-99.999
"43",572,4,1,0.324,-0.023,0.322,0.314,0.26,0.234,-99.999,-99.999
"44",573,4,1,3.069,-0.097,0.322,0.314,0.26,0.234,-99.999,-99.999
"45",574,4,1,-0.073,-0.21,0.322,0.314,0.26,0.234,-99.999,-99.999
