site,site_name,longitude,latitude
22,Gray,-122.540945,43.69922735
23,Eight,-122.4681622,43.86451172
24,Salt,-122.0388375,43.64541126
25,Win,-122.5905447,43.89669641
26,Sal,-122.2475001,43.83655605
28,Dart,-122.4549239,43.80642504
52,Tum,-122.0453538,45.21369736
53,Tim1,-121.7336299,45.10977715
54,Gord,-122.116585,45.50871993
55,Head,-121.8307135,45.43283741
56,Bull1,-122.0094138,45.50321904
57,Tim2,-121.8052601,45.15692795
58,Bull2,-121.9504765,45.45247742
59,Dry,-121.7935103,44.97324682
60,Hel,-122.1619639,45.17463404
61,Farm,-122.0898895,45.01318907
62,Hot1,-122.1962541,44.97086462
64,Hot2,-122.1905869,44.90755372
68,Mint,-121.9904202,44.61704268
71,Mary,-122.0310653,44.6881955
72,Pam,-121.9070555,44.65901988
81,Horse,-122.032715,44.14430764
82,Roar1,-122.0751788,43.96250373
83,Roar2,-122.03248,43.91866281
84,Blue,-122.24134,44.28902892
85,Seven,-122.1590916,44.34040351
86,Bould,-122.0029855,44.23467304
87,Can1,-122.3663185,44.36901467
88,Coug1,-122.1548632,44.48225524
89,Coug2,-122.1641725,44.42931708
90,Quart,-122.1320918,44.57357832
91,Can2,-122.3282674,44.30065735
92,Pyr,-122.0822586,44.53837414
93,Sheep,-122.2374775,44.36134224
96,Lost,-122.0569125,44.17464708
98,Elk,-122.2580021,44.16017492
